Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,0.63819057,0.41270608,0.5482204,0.628511,0.6840025,0.34318024,0.5477549,0.2551836,0.26470226,0.50840735,0.7883214,0.5379837,0.3297489,0.45463705,0.33838272,0.5129752,0.44483852,0.4750973,0.28627288,0.63359404,0.62264204,0.34222078,0.42795813,0.43903887,0.54155195,0.3494398,0.54942167,0.3325333,0.2816204,0.45670965,0.4065379,0.41142,0.21747297,0.56916934,0.6665822,0.48975652,0.31286103,0.42542565,0.4739711,0.43356347,0.52394074,0.49860388,0.18273997,0.4926757,0.30246887,0.30553097,0.47723314,0.34352547,0.20908885,0.30694944,0.49457857,0.6316618,0.27821738,0.4550194,0.39435518,0.24939223,0.6545886,0.30779433,0.37485036,0.20809644,0.56379104,0.5192529,0.28775856,0.45562452,0.2368426,0.46120787,0.60366434,0.38432252,0.3990849,0.47100356,0.39153352,0.35383263,0.42075163,0.37346622,0.6768219,0.22304094,0.46298307,0.3188933,0.40138263,0.23084378,0.31882384,0.6258843,0.47362962,0.41443527,0.60612285,0.6155083,0.40080467,0.5927128,0.42298782,0.34180832,0.40672722,0.57637525,0.22758467,0.3401667,0.36509007,0.41150892,0.50855356,0.3345586,0.3250229,0.53969145
11,0.7862992,0.7929539,0.26629755,0.24762225,0.32468945,0.5743916,0.61600435,0.19201122,0.19827989,0.44508973,0.6492694,0.71390057,0.19106334,0.7876249,0.21903476,0.72999984,0.20630038,0.26893115,0.80053455,0.73099685,0.6676123,0.82718676,0.5188422,0.83838654,0.1828832,0.5381478,0.73483413,0.22514075,0.7598506,0.7151972,0.39322495,0.12001444,0.45484954,0.80380803,0.6150453,0.77792287,0.6634419,0.70048016,0.60089225,0.8144283,0.27723104,0.6792331,0.40898854,0.59847057,0.20477162,0.4209403,0.8066457,0.18644051,0.6295538,0.26471362,0.46955,0.23590882,0.6427001,0.6703315,0.36285973,0.7351752,0.8120756,0.22906129,0.7721586,0.4175254,0.6310444,0.6860054,0.47030774,0.28910238,0.27033502,0.32231092,0.6223871,0.14016485,0.34124854,0.6076474,0.7041069,0.22266543,0.3735,0.67872727,0.44101518,0.76618814,0.35838905,0.33048728,0.46514904,0.76335293,0.24502505,0.19768365,0.7062532,0.47575814,0.65066165,0.2611238,0.61292255,0.68063116,0.6218941,0.28993466,0.32031327,0.84791887,0.72606635,0.7495762,0.77286243,0.12387049,0.22825725,0.41610622,0.756083,0.49972665
12,0.4242843,0.5315202,0.49206555,0.4500206,0.58086324,0.6045836,0.54820156,0.51420265,0.56274396,0.4505505,0.4902066,0.55952847,0.45626193,0.5497336,0.48195934,0.52446616,0.5780822,0.52786267,0.49988472,0.4877522,0.44327176,0.57645357,0.5311898,0.56261635,0.5389141,0.59827584,0.498217,0.5330601,0.5303077,0.61122704,0.59187484,0.49434084,0.6177855,0.46748078,0.41403347,0.5292675,0.5607926,0.5889632,0.46634865,0.58903563,0.5502906,0.5032397,0.55263543,0.5669813,0.5327202,0.57182795,0.55138075,0.53845245,0.6558152,0.55797195,0.5085892,0.4424594,0.57429266,0.5414419,0.47595447,0.66000557,0.53968203,0.5359885,0.5732418,0.63191223,0.54448164,0.48259866,0.5332007,0.53370416,0.56454796,0.47338766,0.46594435,0.52279204,0.4433746,0.47636473,0.5123751,0.51934505,0.5016549,0.51772743,0.49099666,0.5499712,0.53655946,0.56126493,0.475793,0.5306522,0.6174411,0.4855504,0.4892457,0.5707221,0.50007933,0.510103,0.5632981,0.47230557,0.5004743,0.52907324,0.52761257,0.573001,0.57787776,0.6110795,0.5766939,0.54766434,0.463607,0.5487585,0.5522082,0.54690194
13,0.46345484,0.5733738,0.48277003,0.60151273,0.45582762,0.47751427,0.5130174,0.7055974,0.56330925,0.47040075,0.44650695,0.43681115,0.62470436,0.44328082,0.559402,0.4529199,0.42577583,0.5127414,0.51125324,0.58342326,0.47577402,0.43017036,0.5668093,0.43049616,0.5002991,0.5276388,0.3885318,0.5841433,0.5469812,0.41793722,0.52939135,0.65028167,0.5752857,0.4858314,0.4556929,0.4339242,0.46520004,0.50194204,0.41849992,0.52110606,0.6131481,0.44459116,0.6256795,0.56398606,0.6214839,0.5686943,0.375507,0.5089802,0.49842787,0.5187351,0.55161667,0.5658047,0.48529327,0.55755055,0.5687421,0.5549042,0.45900035,0.5579524,0.4955566,0.57752913,0.4782868,0.46126163,0.49985054,0.48714918,0.61784256,0.549186,0.441006,0.5978972,0.5397465,0.50478524,0.5025345,0.6585133,0.56608,0.5310595,0.5460756,0.5883175,0.5100912,0.5815663,0.54974985,0.5195625,0.4803853,0.5165144,0.48392856,0.5211468,0.48731962,0.5672006,0.51418555,0.44971234,0.43616772,0.47994137,0.63176775,0.5529617,0.59804964,0.5000721,0.49565035,0.6131152,0.6001506,0.5835471,0.5827219,0.37570688
14,0.3806187,0.47693446,0.5234065,0.5796169,0.5172322,0.521791,0.51263136,0.5661218,0.5069043,0.38062423,0.3763256,0.38122132,0.52735484,0.43020043,0.47319657,0.43486023,0.4875545,0.48775697,0.45676094,0.45234004,0.40585446,0.48201996,0.4935072,0.46360415,0.51621157,0.51275,0.40649676,0.64310634,0.48162228,0.51365584,0.5047782,0.50221336,0.56967545,0.37288123,0.45757324,0.47482872,0.47455668,0.5107349,0.39516115,0.44548625,0.5469693,0.41448218,0.6228759,0.552145,0.46023205,0.57858646,0.44172698,0.5713456,0.51719475,0.48595542,0.49666655,0.5150601,0.44705647,0.4712531,0.47512525,0.55580246,0.4523548,0.4929515,0.47940695,0.5326151,0.5186193,0.44930696,0.50673324,0.5011211,0.5694027,0.46223342,0.3427312,0.56776214,0.4219228,0.4411982,0.41111287,0.6261107,0.4565556,0.50063294,0.48175234,0.55738854,0.4720592,0.57219094,0.4452651,0.48890355,0.51708657,0.4339754,0.39361557,0.5216751,0.39491692,0.5420907,0.51581746,0.4176908,0.44297475,0.44380367,0.5717961,0.5121276,0.4835747,0.5139894,0.49658,0.55055463,0.48610508,0.48944294,0.5401282,0.45598996
15,0.5315876,0.5487027,0.459208,0.4346665,0.40894142,0.50012326,0.50986123,0.5762708,0.39068758,0.44223696,0.55942667,0.51355195,0.5212586,0.5224352,0.4607552,0.5315672,0.48272118,0.3327859,0.43611363,0.6716074,0.47295693,0.44811663,0.5649817,0.44612256,0.38075802,0.5251526,0.4554873,0.34283584,0.4946284,0.46798354,0.5099103,0.5695681,0.4905095,0.5788091,0.42818436,0.45235807,0.4666585,0.45638627,0.51680017,0.47135827,0.55852336,0.50014347,0.5010922,0.53488064,0.5413197,0.46450794,0.4054435,0.45815343,0.45268536,0.45911032,0.4609149,0.4604106,0.41120774,0.5815065,0.5660298,0.4759714,0.46659854,0.5236677,0.5673225,0.503021,0.5862688,0.4886132,0.56772304,0.37215072,0.4705909,0.49494338,0.4895695,0.44724244,0.55952746,0.59099185,0.55916595,0.55540913,0.56012785,0.58731866,0.47636423,0.52842665,0.4452592,0.46236187,0.5540235,0.5188495,0.3992411,0.49892503,0.52256393,0.43525815,0.47787198,0.48820323,0.5822592,0.46739912,0.46640283,0.45952064,0.50705594,0.5262346,0.531075,0.48151028,0.48363167,0.54538846,0.50087625,0.5320208,0.43841973,0.36887228
16,0.37812477,0.3874312,0.48531744,0.52878165,0.5147592,0.4455006,0.49796182,0.43952325,0.35318732,0.3636613,0.39671052,0.23468462,0.41185102,0.37553865,0.40720493,0.3583982,0.41571352,0.43692964,0.428842,0.44666988,0.4826964,0.45277452,0.40369123,0.49350715,0.44850886,0.26197553,0.3755933,0.6097157,0.37882346,0.44783467,0.26250312,0.31993335,0.44947284,0.40098953,0.504145,0.45416933,0.3637336,0.43611997,0.3869571,0.26346523,0.4796653,0.34698617,0.51866937,0.48293436,0.2897088,0.41899127,0.35340655,0.5243696,0.27065033,0.3325506,0.4880937,0.5315127,0.317128,0.29014665,0.43352672,0.3274826,0.43844926,0.34687853,0.38030595,0.35002857,0.5099141,0.4692684,0.44180351,0.369919,0.39558744,0.36871403,0.33726427,0.4463619,0.3381787,0.43514606,0.28368825,0.45781487,0.32002974,0.38227236,0.47273627,0.4495783,0.34651065,0.41478854,0.39459085,0.43278408,0.45199054,0.44153723,0.31381762,0.37420166,0.31596512,0.509762,0.47918123,0.4415546,0.40053275,0.37914687,0.45410722,0.40948653,0.35545006,0.4297112,0.3926287,0.3927492,0.43004546,0.30630708,0.41200304,0.43602943
17,0.3761362,0.49939704,0.47383142,0.42580444,0.5435856,0.5322646,0.56401753,0.5869529,0.5638628,0.39722937,0.42473572,0.55470496,0.4559091,0.54577756,0.50961536,0.49700487,0.56940424,0.4655665,0.46443814,0.49897757,0.40616858,0.51591706,0.5141076,0.5293285,0.5199291,0.6162064,0.4585125,0.48895222,0.5357268,0.610559,0.5529275,0.5758761,0.6353955,0.47697353,0.3778659,0.5375722,0.51371306,0.57171583,0.45855513,0.54369974,0.55041385,0.48378342,0.5828683,0.5829325,0.5252898,0.5650449,0.48451686,0.5381008,0.66545296,0.503999,0.49259043,0.43345475,0.57088155,0.5545646,0.49031135,0.6991519,0.50299,0.5674051,0.56865656,0.6340929,0.54652834,0.4412459,0.5324704,0.4839954,0.55998373,0.44945428,0.43598968,0.5118276,0.4379481,0.43235195,0.47600892,0.5235808,0.47087818,0.5302727,0.50155413,0.57696414,0.5554061,0.6044781,0.5169332,0.49282074,0.54644215,0.41717815,0.48079252,0.5517142,0.43944424,0.5322628,0.6287955,0.39475968,0.45888233,0.5183163,0.5811957,0.49276048,0.5471383,0.6316778,0.5642171,0.55516565,0.44310308,0.5913111,0.5432663,0.5055977
18,0.33708322,0.4040175,0.38490012,0.5015011,0.36292768,0.46192625,0.4499396,0.45172346,0.3792512,0.41323817,0.3871206,0.4202904,0.36709458,0.4680351,0.34562716,0.49544597,0.45544994,0.46373677,0.47375953,0.35932556,0.39423233,0.45654404,0.38987973,0.45703542,0.48696432,0.48820546,0.36378175,0.44577348,0.37860006,0.50394547,0.4085536,0.45969146,0.5544914,0.29994953,0.3244934,0.4130758,0.4962017,0.54929054,0.3599688,0.5188149,0.42284846,0.38282132,0.50092673,0.45819104,0.45724425,0.55125725,0.43661553,0.37961802,0.52318734,0.43339205,0.4524147,0.49851042,0.47221804,0.40194184,0.44799975,0.58996457,0.40720704,0.43988562,0.46235716,0.48451594,0.4291082,0.43884552,0.41370708,0.5214787,0.44647992,0.43809205,0.5276333,0.40939018,0.3443634,0.46636176,0.41658843,0.43774366,0.46068615,0.38132635,0.43879026,0.35540837,0.4317559,0.5264118,0.4027273,0.41931298,0.4750965,0.49389857,0.46580964,0.50886756,0.44956118,0.4083548,0.5162791,0.43548176,0.47007143,0.5267166,0.37454283,0.45730126,0.47833794,0.58534825,0.39600182,0.3780749,0.40446758,0.4895606,0.43042988,0.375112
19,0.48821712,0.5473151,0.52916366,0.78339267,0.51468885,0.6136004,0.610614,0.63245165,0.40454316,0.47240472,0.5041469,0.39580554,0.59026504,0.51413155,0.47477385,0.5974971,0.54892486,0.48898166,0.5432822,0.54577386,0.5026722,0.5445466,0.6376977,0.48594886,0.5573745,0.5930885,0.37967348,0.6357338,0.42187962,0.5032476,0.5458087,0.70319986,0.6608261,0.34644222,0.47814602,0.525962,0.5909797,0.504902,0.42238164,0.52695507,0.6410991,0.55177164,0.63147354,0.63051313,0.532444,0.70284176,0.493062,0.60444224,0.51102066,0.6351545,0.65254503,0.567744,0.41633007,0.46921587,0.6460423,0.5717343,0.52066827,0.54854816,0.5703807,0.62394345,0.4568954,0.5052573,0.5510291,0.43166333,0.59987044,0.59378994,0.43810666,0.49775192,0.46225718,0.68857443,0.52443945,0.6917329,0.53407574,0.53674686,0.6074678,0.5641884,0.46103704,0.5867592,0.58391416,0.64096284,0.57631224,0.56591034,0.44662252,0.56983256,0.47607923,0.57422715,0.6202402,0.60976064,0.523969,0.590224,0.59594536,0.550931,0.55344856,0.6105411,0.5759015,0.5549221,0.5955895,0.5997881,0.5982466,0.48334697
