Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A2-A0CM,0.62755793,0.84461975,0.61313576,0.57940745,0.2753191,0.7404432,0.7244466,0.4117486,0.9447086,0.69762045,0.54605794,0.9409053,0.48331583,0.054039516,0.35064572,0.56276166,0.89805436,0.6357783,0.07821606,0.13738763,0.4425902,0.76688236,0.38709044,0.903641,0.87263846,0.22101183,0.47236586,0.08124428,0.46924835,0.67402816,0.6116886,0.29663533,0.5471262,0.3608253,0.621528,0.43605393,0.6040363,0.39275193,0.3857182,0.37270212,0.45891595,0.83799726,0.182044,0.078305185,0.65108955,0.48155636,0.903779,0.58275497,0.6137806,0.71252126,0.5742352,0.6864506,0.7090814,0.078213766,0.081708014,0.8464241,0.5464192,0.59370124,0.34212515,0.7423945,0.7199538,0.71618426,0.18404296,0.81203526,0.22409698,0.4179319,0.6774438,0.75263643,0.5523181,0.2061421,0.3475833,0.19101636,0.7555741,0.5785572,0.8727163,0.32574683,0.6676431,0.11314673,0.09209295,0.8839252,0.82111967,0.43021527,0.8004494,0.39881805,0.654971,0.6173904,0.576825,0.40505412,0.27338254,0.8265923,0.56888807,0.15916209,0.607755,0.91970557,0.8252628,0.9037041,0.29750144,0.8890765,0.23410694,0.32376033
A2-A0CP,0.54971373,0.7140559,0.8094114,0.41358602,0.22983888,0.64066195,0.83276105,0.32068044,0.09701576,0.25811127,0.9154464,0.19681472,0.77041984,0.8589979,0.67579556,0.44411477,0.87217116,0.60781264,0.5197702,0.496894,0.9112209,0.57219166,0.6996745,0.7838453,0.42103326,0.8502056,0.8816248,0.6798201,0.46284,0.541102,0.16362888,0.34515998,0.09625215,0.28298682,0.8050654,0.18843935,0.83347803,0.58703876,0.8607556,0.8278756,0.3189812,0.84989184,0.6986067,0.7262471,0.24699815,0.41024768,0.09031107,0.41867995,0.6516832,0.5924113,0.7514313,0.767538,0.32303506,0.5733843,0.5637736,0.64427257,0.15396504,0.47302407,0.54659,0.52360535,0.43611345,0.6186666,0.6885135,0.3086976,0.4681459,0.06994259,0.55704904,0.5291328,0.52004886,0.1753414,0.714181,0.3179462,0.3798929,0.1468248,0.3595157,0.34278005,0.4244711,0.84532666,0.6598135,0.7547687,0.1077414,0.45993018,0.54580724,0.18837123,0.52952456,0.1387358,0.83270437,0.35679135,0.50948226,0.7109513,0.44572493,0.41005954,0.6687011,0.1543718,0.32206625,0.11665352,0.9054484,0.5628345,0.791384,0.40290692
A2-A0CS,0.8229121,0.09984321,0.8821182,0.62537754,0.7652063,0.54585654,0.37088522,0.4730443,0.55315006,0.17954545,0.7295969,0.47057748,0.4211858,0.8609961,0.4797691,0.5757557,0.79384184,0.6444645,0.6339965,0.67288494,0.937262,0.8089893,0.64722884,0.12740667,0.37708363,0.46672696,0.6596042,0.44174778,0.10400084,0.6607309,0.11535312,0.3476505,0.41030976,0.38010812,0.9270233,0.4504139,0.741869,0.44297567,0.5559872,0.7667611,0.6678967,0.63766086,0.37433916,0.9124088,0.49930543,0.5028305,0.24437132,0.33395016,0.76582956,0.7651921,0.5345573,0.31546974,0.53670084,0.9307382,0.39145118,0.5058925,0.7651649,0.14977464,0.812343,0.6617235,0.7377666,0.15962818,0.72878873,0.35871193,0.85400164,0.12086381,0.13159043,0.17209527,0.60035396,0.1671182,0.70265776,0.51070863,0.3406499,0.64973515,0.7098555,0.5987989,0.686924,0.7161832,0.45073485,0.7638689,0.25130975,0.5547296,0.31466973,0.48308665,0.10602676,0.43474913,0.4635815,0.115150884,0.57971156,0.8014408,0.3809469,0.43949696,0.6959904,0.32755372,0.19514328,0.21977143,0.8685268,0.62171304,0.882576,0.11605008
A2-A0CX,0.76159257,0.11169742,0.3424644,0.400708,0.72129285,0.4311258,0.22920017,0.46270198,0.18862769,0.45411834,0.0987193,0.14200382,0.7406106,0.8492396,0.5590203,0.80447984,0.7148113,0.894701,0.35042703,0.3188915,0.47459298,0.55846053,0.6327981,0.62654734,0.6685311,0.91904473,0.33416533,0.32554907,0.14828944,0.2460551,0.37806353,0.69332623,0.50048965,0.18511617,0.56686646,0.40554953,0.4151222,0.26649496,0.69902265,0.4111222,0.81869686,0.703266,0.5709609,0.50046104,0.8724717,0.3001419,0.47170663,0.5420041,0.5927868,0.6346636,0.76726675,0.8158797,0.36510596,0.4717533,0.84303755,0.9001552,0.9351988,0.19106397,0.4279278,0.23598465,0.6920372,0.6501507,0.24988535,0.7132466,0.5501601,0.6229855,0.16924721,0.40468362,0.2818674,0.5998378,0.48804194,0.35322833,0.8359864,0.8973337,0.36903572,0.8271445,0.7287365,0.5324203,0.123336285,0.3956663,0.29230303,0.60870016,0.4622218,0.78444517,0.89403963,0.37304243,0.2694473,0.29385874,0.7807983,0.48000178,0.78934383,0.75449324,0.43422124,0.37810972,0.5880686,0.38542396,0.8134274,0.43571505,0.7559358,0.40578717
A2-A0D0,0.9221798,0.24214478,0.47332186,0.6172,0.78196603,0.8515004,0.54809976,0.776873,0.4480305,0.8968201,0.5371704,0.80458915,0.53778887,0.30631834,0.07409375,0.06242533,0.6864202,0.64435965,0.31399336,0.11927106,0.9589983,0.22221704,0.47364676,0.8338602,0.85214025,0.66977656,0.20709927,0.07669616,0.14509597,0.31696582,0.8788518,0.178793,0.15832196,0.46990657,0.8856423,0.10166771,0.78358066,0.44058922,0.7753706,0.7754231,0.078046784,0.77411383,0.37062916,0.20876779,0.93896544,0.75027555,0.432441,0.27186418,0.10604711,0.64432895,0.6629083,0.31871003,0.4166996,0.14967151,0.4187593,0.91725117,0.15252717,0.64606917,0.1671678,0.94035757,0.66177267,0.09973174,0.88426673,0.09405264,0.34492835,0.36309558,0.85763514,0.7969266,0.111522034,0.25261587,0.14142859,0.11399576,0.48262239,0.07550959,0.9355184,0.73442113,0.07199057,0.5653899,0.34367725,0.8950162,0.72361887,0.70253766,0.69690806,0.1861185,0.9171894,0.3713972,0.11199327,0.69942594,0.14782462,0.91063875,0.9497102,0.68536425,0.2487022,0.656158,0.8357551,0.42889017,0.8179498,0.8330225,0.3176326,0.77639246
A2-A0D2,0.84081185,0.8262329,0.42929715,0.76384646,0.4911496,0.20615481,0.8245991,0.4696916,0.67719793,0.83502126,0.58054674,0.7409845,0.716653,0.25810182,0.07187707,0.32114172,0.8715601,0.5819803,0.72660255,0.25839362,0.67989796,0.4251697,0.63610125,0.4182412,0.80863196,0.5460952,0.25807995,0.28028056,0.31837267,0.43772855,0.9257029,0.29081225,0.20757724,0.2732998,0.4727401,0.12955488,0.23867105,0.74890196,0.6255973,0.57216454,0.16986644,0.6630719,0.77016264,0.32423878,0.6302157,0.705846,0.7214782,0.54535604,0.26584652,0.65591705,0.18415472,0.4068705,0.36240113,0.2700348,0.18070602,0.77117974,0.5648359,0.62441397,0.18111947,0.51099515,0.81809413,0.6833844,0.15001546,0.0946168,0.77479,0.63949805,0.75558484,0.39391193,0.2110819,0.19069123,0.70625234,0.12871642,0.7692945,0.2185867,0.8502855,0.403041,0.47051865,0.9054511,0.22382447,0.773966,0.8453117,0.58557147,0.78128964,0.13663708,0.91866493,0.449666,0.24122943,0.5284131,0.16312149,0.9267859,0.7386246,0.16036218,0.74257636,0.6085648,0.89107144,0.4069832,0.8254713,0.41119397,0.7564411,0.78233695
A2-A0D3,0.8488885,0.16263276,0.48797715,0.56921196,0.37116313,0.56706935,0.34765568,0.6740731,0.92294824,0.75577545,0.71464074,0.11749348,0.59498954,0.31259096,0.36607146,0.44704914,0.27809805,0.8127045,0.7313972,0.8053992,0.35116714,0.85042566,0.6456343,0.3185146,0.5113504,0.7613101,0.4531235,0.7163236,0.19597511,0.9228263,0.44613427,0.40492782,0.5468921,0.6791456,0.538291,0.40878737,0.82512575,0.2896481,0.8768134,0.37074205,0.39489394,0.8411464,0.79444784,0.42142916,0.15758887,0.18580489,0.08734344,0.7484578,0.8978652,0.8285019,0.28041166,0.7081318,0.49682242,0.68414986,0.2653548,0.09952018,0.9109187,0.4414405,0.81802636,0.7715709,0.44221926,0.8881946,0.64773357,0.23172358,0.86617744,0.3296658,0.2601059,0.74119765,0.6483203,0.83727026,0.14851847,0.48584718,0.18225786,0.77354753,0.37778962,0.5375201,0.7177229,0.40758342,0.6826788,0.70943826,0.21174371,0.7180211,0.24273857,0.69135153,0.32453492,0.50819755,0.5222851,0.34395075,0.13861938,0.05810459,0.61724514,0.78661054,0.2454511,0.7930855,0.19853163,0.31114143,0.10887338,0.9104012,0.8318688,0.12068421
A2-A0EO,0.15648063,0.53824466,0.89180136,0.15492336,0.41510117,0.34661645,0.7864844,0.32322538,0.49177632,0.76491773,0.76183325,0.4450866,0.796813,0.6460571,0.42716637,0.77120364,0.76354647,0.69591296,0.53666896,0.4483661,0.82324684,0.55920047,0.7960029,0.4367793,0.22911762,0.4867522,0.8078284,0.37871924,0.39199048,0.91026235,0.48678586,0.5373025,0.5505122,0.69210434,0.6143443,0.40761393,0.6362858,0.408307,0.51273876,0.21821523,0.82761383,0.83016634,0.8731692,0.9128711,0.19289026,0.16793236,0.14970322,0.41269565,0.6889155,0.4986782,0.6462824,0.7291151,0.7721258,0.7533306,0.71374905,0.79659367,0.65901136,0.42952976,0.3420948,0.41872302,0.5329902,0.5279475,0.4390657,0.63414097,0.376758,0.602823,0.14748976,0.4511632,0.5281475,0.23557456,0.39451396,0.43321463,0.59044194,0.3400481,0.35150808,0.44611967,0.33846456,0.86560714,0.6708046,0.46590808,0.116046436,0.8219892,0.25872153,0.43567872,0.49655718,0.36260623,0.7177723,0.19192784,0.5532086,0.3651448,0.41326642,0.37064397,0.47487813,0.37578306,0.3355354,0.16040173,0.5230936,0.45638782,0.7201514,0.48615664
A2-A0ES,0.14318219,0.79145783,0.76113737,0.40519613,0.2968071,0.5016013,0.8986471,0.7588093,0.5603707,0.26155713,0.5156731,0.74738526,0.8730866,0.9116982,0.6570991,0.5904544,0.4059157,0.503911,0.6124256,0.23166645,0.8254094,0.5648646,0.61388165,0.57007825,0.47684908,0.19350816,0.9073627,0.9197905,0.7399231,0.54384655,0.5915237,0.66657317,0.48705605,0.93832225,0.349949,0.5968777,0.3831308,0.5125842,0.4674214,0.14115143,0.477298,0.63017416,0.8417794,0.7370956,0.07336368,0.2088639,0.28944072,0.4167638,0.6484932,0.3670223,0.21587585,0.24878776,0.73744804,0.5519397,0.8871619,0.40534556,0.20793296,0.7948381,0.4940266,0.6669058,0.184827,0.83508205,0.53804284,0.61268127,0.6476705,0.642313,0.5624851,0.24602896,0.23702458,0.880791,0.7563328,0.23334077,0.28027812,0.09072492,0.37615642,0.61382496,0.33337873,0.8820691,0.81791437,0.4458203,0.102157526,0.63345283,0.51359314,0.6005278,0.8469684,0.56496227,0.8182749,0.6637262,0.29881728,0.1818701,0.50027835,0.20377876,0.5073024,0.5854124,0.27379978,0.3206279,0.14825839,0.3107714,0.44485283,0.7668109
A2-A0EU,0.7536971,0.30182385,0.6779438,0.5179765,0.15941098,0.87348866,0.72104234,0.2753553,0.80116624,0.59654635,0.9043954,0.36333182,0.43003434,0.4113981,0.5601176,0.6892822,0.68076,0.4134314,0.49167952,0.79403275,0.4230224,0.42754954,0.64466137,0.6153351,0.2478267,0.3903448,0.8284048,0.8872765,0.6635493,0.46033657,0.29760563,0.9124569,0.7287579,0.42257413,0.5619942,0.8888172,0.59862566,0.7363261,0.09278286,0.82037145,0.18226719,0.56168437,0.9076288,0.5654452,0.33959383,0.8989543,0.52721155,0.4408524,0.44113868,0.16144258,0.83015686,0.77566564,0.4530611,0.5468451,0.6365768,0.6855794,0.19393083,0.80889386,0.5427142,0.8856883,0.500162,0.5716629,0.83012825,0.6702222,0.27117887,0.21011922,0.88767797,0.6342392,0.51677126,0.611197,0.34314427,0.45131785,0.12869547,0.33153996,0.29692906,0.25058693,0.12973967,0.7144427,0.8316488,0.48713648,0.35172275,0.1719127,0.39716935,0.4577857,0.3131548,0.2723156,0.21043335,0.24803638,0.6869183,0.5954021,0.6159812,0.3724557,0.76002884,0.8225179,0.23767844,0.15525705,0.87086165,0.07430899,0.61953694,0.74324024
